Sample1	Sample2	Jaccard	Pearson	Spearman	Cosine
CGS001_PC3_144H:APC:2	CGS001_PC3_120H:APC:2	0.502	0.0554	0.0331	0.0552
CGS001_PC3_96H:HES1:2	CGS001_PC3_144H:HES1:2	0.5542	0.1663	0.1807	0.1682
CGS001_MCF7_96H:HSPA5:2	CGS001_MCF7_144H:HSPA5:2	0.773	0.7493	0.7143	0.7496
CGS001_PC3_144H:HSPA5:2	CGS001_PC3_96H:HSPA5:2	0.6564	0.5587	0.4717	0.5579
CGS001_MCF7_144H:HSPA9:2	CGS001_MCF7_96H:HSPA9:2	0.7791	0.7062	0.7203	0.7071
CGS001_PC3_96H:HSPA9:2	CGS001_PC3_144H:HSPA9:2	0.638	0.4518	0.4277	0.4523
CGS001_MCF7_96H:BIRC5:2	CGS001_MCF7_144H:BIRC5:2	0.7546	0.6351	0.6553	0.6352
CGS001_MCF7_144H:IGFBP2:2	CGS001_MCF7_96H:IGFBP2:2	0.7812	0.7543	0.7639	0.7557
CGS001_PC3_144H:IGFBP4:2	CGS001_PC3_96H:IGFBP4:2	0.6616	0.49	0.4885	0.4903
CGS001_PC3_144H:ITGAE:2	CGS001_PC3_96H:ITGAE:2	0.4806	-0.0491	-0.0566	-0.047
CGS001_PC3_96H:ITGB4:2	CGS001_PC3_144H:ITGB4:2	0.4581	-0.0382	-0.08	-0.0343
CGS001_MCF7_96H:ITGB5:2	CGS001_MCF7_144H:ITGB5:2	0.6186	0.3314	0.3408	0.3301
CGS001_VCAP_96H:KIF11:5	CGS001_VCAP_120H:KIF11:5	0.7188	0.5359	0.5717	0.5346
CGS001_MCF7_144H:AMIGO3:2	CGS001_MCF7_96H:AMIGO3:2	0.7423	0.6749	0.6608	0.6775
CGS001_PC3_96H:AMIGO3:2	CGS001_PC3_144H:AMIGO3:2	0.5184	0.0759	0.0568	0.0752
CGS001_MCF7_144H:LRP4:2	CGS001_MCF7_96H:LRP4:2	0.6748	0.513	0.5182	0.5136
CGS001_PC3_144H:SMAD2:2	CGS001_PC3_96H:SMAD2:2	0.4816	0.0276	-0.0098	0.0303
CGS001_PC3_144H:MAN2B1:2	CGS001_PC3_96H:MAN2B1:2	0.4581	-0.0438	-0.0821	-0.0377
CGS001_MCF7_96H:MCM3:2	CGS001_MCF7_144H:MCM3:2	0.6452	0.4675	0.4473	0.4686
CGS001_MCF7_96H:MDM2:2	CGS001_MCF7_144H:MDM2:2	0.6145	0.3026	0.3413	0.3046
CGS001_PC3_144H:MAP3K4:2	CGS001_PC3_96H:MAP3K4:2	0.4969	-0.008	-0.0422	-0.0111
CGS001_PC3_96H:MEST:2	CGS001_PC3_144H:MEST:2	0.546	0.2662	0.2169	0.257
CGS001_PC3_96H:METTL1:2	CGS001_PC3_144H:METTL1:2	0.6738	0.4669	0.4596	0.4677
CGS001_PC3_144H:MLL:2	CGS001_PC3_96H:MLL:2	0.593	0.2779	0.2255	0.2766
CGS001_PC3_96H:AFF1:2	CGS001_PC3_144H:AFF1:2	0.5521	0.2593	0.234	0.2569
CGS001_MCF7_144H:ALDH6A1:2	CGS001_MCF7_96H:ALDH6A1:2	0.7781	0.7351	0.7285	0.7349
CGS001_MCF7_96H:MPL:2	CGS001_MCF7_144H:MPL:2	0.7106	0.627	0.6	0.6271
CGS001_MCF7_96H:ATF3:2	CGS001_MCF7_144H:ATF3:2	0.6902	0.5982	0.5663	0.5975
CGS001_PC3_144H:NBN:2	CGS001_PC3_96H:NBN:2	0.5665	0.1792	0.1848	0.186
CGS001_MCF7_144H:NDUFA5:2	CGS001_MCF7_96H:NDUFA5:2	0.772	0.7591	0.7421	0.7607
CGS001_PC3_144H:NDUFA5:2	CGS001_PC3_96H:NDUFA5:2	0.5654	0.219	0.1814	0.2173
CGS001_PC3_96H:ATIC:2	CGS001_PC3_144H:ATIC:2	0.6769	0.4938	0.4855	0.4934
CGS001_MCF7_144H:ATP1A1:2	CGS001_MCF7_96H:ATP1A1:2	0.6022	0.2583	0.2516	0.2562
CGS001_PC3_96H:NFIL3:2	CGS001_PC3_144H:NFIL3:2	0.6483	0.4564	0.4524	0.457
CGS001_MCF7_144H:NUMA1:2	CGS001_MCF7_96H:NUMA1:2	0.7168	0.6669	0.651	0.6675
CGS001_PC3_96H:HEBP1:2	CGS001_PC3_144H:HEBP1:2	0.6779	0.4877	0.4848	0.4846
CGS001_PC3_144H:PCNA:2	CGS001_PC3_96H:PCNA:2	0.6656	0.519	0.4746	0.5179
CGS001_PC3_96H:VPS28:2	CGS001_PC3_144H:VPS28:2	0.5808	0.3952	0.2839	0.3954
CGS001_MCF7_144H:HSD17B7:2	CGS001_MCF7_96H:HSD17B7:2	0.6513	0.3533	0.3844	0.3537
CGS001_PC3_96H:PLAT:2	CGS001_PC3_144H:PLAT:2	0.6339	0.4928	0.4572	0.4929
CGS001_PC3_144H:ATP6V0B:2	CGS001_PC3_96H:ATP6V0B:2	0.6002	0.3435	0.29	0.3437
CGS001_MCF7_96H:PLK1:2	CGS001_MCF7_144H:PLK1:2	0.7382	0.6775	0.6831	0.6792
CGS001_MCF7_144H:POLR2A:2	CGS001_MCF7_96H:POLR2A:2	0.8108	0.764	0.7792	0.7648
CGS001_PC3_96H:POLR2A:2	CGS001_PC3_144H:POLR2A:2	0.5245	0.1324	0.0805	0.132
CGS001_PC3_96H:POLR2I:2	CGS001_PC3_144H:POLR2I:2	0.6145	0.3409	0.3154	0.3387
CGS001_PC3_144H:POLR2K:2	CGS001_PC3_96H:POLR2K:2	0.5286	0.1837	0.1322	0.1833
CGS001_MCF7_144H:ATR:2	CGS001_MCF7_96H:ATR:2	0.6401	0.332	0.3753	0.3329
CGS001_PC3_144H:ATR:2	CGS001_PC3_96H:ATR:2	0.455	-0.1369	-0.1272	-0.136
CGS001_PC3_96H:DDX49:2	CGS001_PC3_144H:DDX49:2	0.6452	0.506	0.4595	0.5052
CGS001_PC3_144H:PAF1:2	CGS001_PC3_96H:PAF1:2	0.6534	0.4651	0.453	0.4637
CGS001_MCF7_144H:CROT:2	CGS001_MCF7_96H:CROT:2	0.6912	0.551	0.5456	0.5518
CGS001_PC3_144H:CROT:2	CGS001_PC3_96H:CROT:2	0.6186	0.3775	0.3683	0.3783
CGS001_MCF7_144H:MED1:2	CGS001_MCF7_96H:MED1:2	0.7577	0.6888	0.681	0.6899
CGS001_MCF7_96H:ERCC6L:2	CGS001_MCF7_144H:ERCC6L:2	0.6391	0.3747	0.3955	0.3736
CGS001_MCF7_96H:CDKAL1:2	CGS001_MCF7_144H:CDKAL1:2	0.7434	0.5926	0.6013	0.5917
CGS001_PC3_96H:CDKAL1:2	CGS001_PC3_144H:CDKAL1:2	0.547	0.1178	0.109	0.1229
CGS001_MCF7_96H:ATG16L1:2	CGS001_MCF7_144H:ATG16L1:2	0.7515	0.6552	0.6676	0.6552
CGS001_PC3_96H:PPP1R8:2	CGS001_PC3_144H:PPP1R8:2	0.6012	0.3648	0.3236	0.3639
CGS001_MCF7_96H:CDCA8:2	CGS001_MCF7_144H:CDCA8:2	0.7321	0.6495	0.6414	0.6495
CGS001_PC3_144H:PPP2R3A:2	CGS001_PC3_96H:PPP2R3A:2	0.6002	0.2913	0.2937	0.2897
CGS001_PC3_96H:QRSL1:2	CGS001_PC3_144H:QRSL1:2	0.5389	0.2	0.1448	0.1986
CGS001_MCF7_144H:RNLS:2	CGS001_MCF7_96H:RNLS:2	0.6861	0.5096	0.5381	0.5098
CGS001_PC3_96H:RNLS:2	CGS001_PC3_144H:RNLS:2	0.5164	0.0272	0.0367	0.0396
CGS001_PC3_96H:ZNF331:2	CGS001_PC3_144H:ZNF331:2	0.6493	0.4186	0.4607	0.4212
CGS001_MCF7_144H:POLR3B:2	CGS001_MCF7_96H:POLR3B:2	0.5869	0.1851	0.2089	0.1848
CGS001_MCF7_144H:PRKAR2B:2	CGS001_MCF7_96H:PRKAR2B:2	0.7362	0.6552	0.6611	0.6553
CGS001_MCF7_96H:PECR:2	CGS001_MCF7_144H:PECR:2	0.5164	0.0322	0.0071	0.0322
CGS001_MCF7_144H:PBK:2	CGS001_MCF7_96H:PBK:2	0.7556	0.6139	0.6367	0.6147
CGS001_MCF7_144H:GSDMB:2	CGS001_MCF7_96H:GSDMB:2	0.7434	0.6047	0.6253	0.607
CGS001_MCF7_144H:MAP2K2:2	CGS001_MCF7_96H:MAP2K2:2	0.7546	0.655	0.6384	0.6557
CGS001_MCF7_144H:EIF2AK2:2	CGS001_MCF7_96H:EIF2AK2:2	0.774	0.7289	0.7476	0.7296
CGS001_MCF7_144H:PRPSAP2:2	CGS001_MCF7_96H:PRPSAP2:2	0.7791	0.6979	0.7158	0.6987
CGS001_MCF7_144H:TM9SF3:2	CGS001_MCF7_96H:TM9SF3:2	0.684	0.5681	0.5292	0.5663
CGS001_MCF7_144H:PSMB1:2	CGS001_MCF7_96H:PSMB1:2	0.7863	0.8022	0.773	0.8019
CGS001_PC3_96H:PSMB1:2	CGS001_PC3_144H:PSMB1:2	0.593	0.2996	0.2423	0.2995
CGS001_MCF7_144H:PSMB2:2	CGS001_MCF7_96H:PSMB2:2	0.8303	0.8582	0.8438	0.8584
CGS001_PC3_144H:PSMB2:2	CGS001_PC3_96H:PSMB2:2	0.6084	0.2849	0.2695	0.2856
CGS001_MCF7_144H:PSMD1:2	CGS001_MCF7_96H:PSMD1:2	0.8364	0.8752	0.8627	0.8754
CGS001_PC3_96H:PSMD1:2	CGS001_PC3_144H:PSMD1:2	0.6953	0.6016	0.5688	0.6016
CGS001_PC3_144H:PSMD4:2	CGS001_PC3_96H:PSMD4:2	0.5521	0.2597	0.2032	0.2599
CGS001_PC3_144H:RAD23B:2	CGS001_PC3_96H:RAD23B:2	0.6585	0.5216	0.5009	0.5217
CGS001_MCF7_144H:RAD51:2	CGS001_MCF7_96H:RAD51:2	0.7209	0.6982	0.6496	0.6989
CGS001_MCF7_144H:RAF1:2	CGS001_MCF7_96H:RAF1:2	0.6953	0.506	0.5153	0.5056
CGS001_MCF7_96H:RALA:2	CGS001_MCF7_144H:RALA:2	0.7434	0.6514	0.6448	0.6528
CGS001_PC3_96H:UBL5:2	CGS001_PC3_144H:UBL5:2	0.5757	0.2578	0.2614	0.2536
CGS001_PC3_144H:RBBP6:2	CGS001_PC3_96H:RBBP6:2	0.6472	0.4755	0.4589	0.4755
CGS001_MCF7_144H:SENP2:2	CGS001_MCF7_96H:SENP2:2	0.7638	0.7034	0.7335	0.7037
CGS001_MCF7_144H:REL:2	CGS001_MCF7_96H:REL:2	0.6391	0.4503	0.4239	0.4523
CGS001_PC3_96H:RPA1:2	CGS001_PC3_144H:RPA1:2	0.5593	0.2816	0.2386	0.2792
CGS001_PC3_144H:RPL7:2	CGS001_PC3_96H:RPL7:2	0.7423	0.7207	0.7001	0.7207
CGS001_MCF7_144H:RPS6:2	CGS001_MCF7_96H:RPS6:2	0.7025	0.575	0.5647	0.5754
CGS001_PC3_96H:RPS6:2	CGS001_PC3_144H:RPS6:2	0.5133	0.1063	0.0777	0.1061
CGS001_PC3_96H:RPS7:2	CGS001_PC3_144H:RPS7:2	0.7229	0.6655	0.6441	0.6656
CGS001_MCF7_144H:RPS19:2	CGS001_MCF7_96H:RPS19:2	0.7986	0.7656	0.7635	0.7661
CGS001_PC3_96H:RPS19:2	CGS001_PC3_144H:RPS19:2	0.59	0.4092	0.3646	0.409
CGS001_MCF7_144H:RRM1:2	CGS001_MCF7_96H:RRM1:2	0.7935	0.7408	0.7513	0.7421
CGS001_PC3_144H:RRM1:2	CGS001_PC3_96H:RRM1:2	0.501	0.0756	0.0314	0.0755
CGS001_MCF7_96H:SCNN1A:2	CGS001_MCF7_144H:SCNN1A:2	0.7311	0.6355	0.6287	0.6378
CGS001_PC3_96H:BLM:2	CGS001_PC3_144H:BLM:2	0.6207	0.3334	0.3089	0.3334
CGS001_MCF7_96H:SFPQ:2	CGS001_MCF7_144H:SFPQ:2	0.8303	0.8115	0.8082	0.812
CGS001_PC3_96H:SFPQ:2	CGS001_PC3_144H:SFPQ:2	0.5	0.0589	0.0092	0.0577
CGS001_MCF7_144H:SRSF3:2	CGS001_MCF7_96H:SRSF3:2	0.7975	0.7793	0.7716	0.7796
CGS001_PC3_96H:SRSF3:2	CGS001_PC3_144H:SRSF3:2	0.6227	0.3997	0.3727	0.3983
CGS001_MCF7_96H:BLVRA:2	CGS001_MCF7_144H:BLVRA:2	0.7301	0.6051	0.6036	0.6047
CGS001_PC3_96H:ITSN1:2	CGS001_PC3_144H:ITSN1:2	0.4468	-0.1279	-0.1577	-0.1249
CGS001_PC3_96H:SMARCE1:2	CGS001_PC3_120H:SMARCE1:2	0.6524	0.4535	0.4568	0.4546
CGS001_PC3_144H:SNRPD1:2	CGS001_PC3_96H:SNRPD1:2	0.5542	0.2209	0.1885	0.2194
CGS001_MCF7_144H:SOD1:2	CGS001_MCF7_96H:SOD1:2	0.6667	0.4411	0.4601	0.4431
CGS001_PC3_96H:SOS1:2	CGS001_PC3_144H:SOS1:2	0.592	0.2865	0.2791	0.2856
CGS001_MCF7_96H:SP3:2	CGS001_MCF7_144H:SP3:2	0.7362	0.6788	0.6565	0.6779
CGS001_MCF7_144H:SPR:2	CGS001_MCF7_96H:SPR:2	0.7219	0.6987	0.6353	0.6986
CGS001_PC3_144H:SPR:2	CGS001_PC3_96H:SPR:2	0.6135	0.3925	0.3431	0.3907
CGS001_PC3_96H:SRC:2	CGS001_PC3_144H:SRC:2	0.5419	0.183	0.1635	0.1825
CGS001_MCF7_144H:STAT1:2	CGS001_MCF7_96H:STAT1:2	0.7014	0.5664	0.5629	0.5666
CGS001_MCF7_96H:AURKA:2	CGS001_MCF7_144H:AURKA:2	0.7515	0.6464	0.6494	0.6465
CGS001_MCF7_144H:STK11:2	CGS001_MCF7_96H:STK11:2	0.7086	0.6431	0.6209	0.644
CGS001_PC3_144H:STK11:2	CGS001_PC3_96H:STK11:2	0.547	0.1645	0.1467	0.1646
CGS001_PC3_144H:BUB1:2	CGS001_PC3_96H:BUB1:2	0.4182	-0.1531	-0.2163	-0.1505
CGS001_MCF7_96H:NR2F2:2	CGS001_MCF7_144H:NR2F2:2	0.7372	0.6966	0.6592	0.6978
CGS001_PC3_96H:TFDP1:2	CGS001_PC3_144H:TFDP1:2	0.6421	0.3948	0.389	0.394
CGS001_MCF7_96H:TOP1:2	CGS001_MCF7_144H:TOP1:2	0.7638	0.6997	0.692	0.7028
CGS001_MCF7_96H:TP53BP1:2	CGS001_MCF7_144H:TP53BP1:2	0.7229	0.6118	0.578	0.6118
