Sample1	Sample2	dose1uM-100uM_time6
EMU001_TMD8_3H:J20	EMU001_TMD8_6H:J20	0.4675
EMU001_TMD8_3H:J20	EMU001_TMD8_3H:J19	0.3195
EMU001_TMD8_6H:J19	EMU001_TMD8_6H:J20	0.3401
EMU001_TMD8_6H:J19	EMU001_TMD8_3H:J19	0.7065
EMU001_TMD8_6H:J20	EMU001_TMD8_3H:J19	0.2961
KTOX002_HPTEC_6H:BRD-U68106254:31.6	KTOX002_HPTEC_6H:BRD-U68106254:100	0.457
KTOX002_HPTEC_6H:BRD-U68106254:31.6	KTOX002_HPTEC_6H:BRD-U68106254:3.2	0.2588
KTOX002_HPTEC_6H:BRD-U68106254:31.6	KTOX002_HPTEC_6H:BRD-U68106254:10	0.5715
KTOX002_HPTEC_6H:BRD-U68106254:100	KTOX002_HPTEC_6H:BRD-U68106254:3.2	0.1683
KTOX002_HPTEC_6H:BRD-U68106254:100	KTOX002_HPTEC_6H:BRD-U68106254:10	0.2438
KTOX002_HPTEC_6H:BRD-U68106254:3.2	KTOX002_HPTEC_6H:BRD-U68106254:10	0.4277
