Sample1	Sample2	dose1uM-100uM_time6
HOG002_A549_6H:BRD-K12184916-001-04-8:10	HOG002_A549_6H:BRD-K12184916-001-04-8:3.33	0.7706
LKCP001_U2OS_6H:G22	LKCP001_U2OS_6H:G23	0.5232
MUC.CP005_MCF7_6H:BRD-K12502280-001-01-5:11.1	MUC.CP005_MCF7_6H:BRD-K12502280-001-01-5:1.2333	0.4269
AICHI002_TMD8_4H:A20	AICHI002_TMD8_4H:A19	0.6955
KMS002_NOMO1_6H:BRD-K12683773-300-02-1:10	KMS002_NOMO1_6H:BRD-K12683773-300-02-1:1.11	0.2931
EMU001_BJAB_3H:M08	EMU001_BJAB_6H:M08	0.6824
EMU001_BJAB_3H:M08	EMU001_BJAB_3H:M07	0.7642
EMU001_BJAB_3H:M08	EMU001_BJAB_6H:M07	0.749
EMU001_BJAB_6H:M08	EMU001_BJAB_3H:M07	0.5427
EMU001_BJAB_6H:M08	EMU001_BJAB_6H:M07	0.8552
EMU001_BJAB_3H:M07	EMU001_BJAB_6H:M07	0.6942
EMU001_MINO_3H:M08	EMU001_MINO_6H:M08	0.5372
EMU001_MINO_3H:M08	EMU001_MINO_3H:M07	0.7388
EMU001_MINO_6H:M08	EMU001_MINO_3H:M07	0.3154
EMU001_THP1_3H:M08	EMU001_THP1_3H:M07	0.3832
EMU001_THP1_3H:M08	EMU001_THP1_6H:M08	0.6749
EMU001_THP1_3H:M07	EMU001_THP1_6H:M08	0.2697
EMU001_TMD8_3H:M07	EMU001_TMD8_6H:M08	0.6252
EMU001_TMD8_3H:M07	EMU001_TMD8_3H:M08	0.768
EMU001_TMD8_3H:M07	EMU001_TMD8_6H:M07	0.8189
EMU001_TMD8_6H:M08	EMU001_TMD8_3H:M08	0.6995
EMU001_TMD8_6H:M08	EMU001_TMD8_6H:M07	0.734
EMU001_TMD8_3H:M08	EMU001_TMD8_6H:M07	0.6954
AICHI001_BJAB_4H:O13	AICHI001_BJAB_4H:O14	0.1653
AICHI001_HBL1_4H:O13	AICHI001_HBL1_4H:O14	0.4645
LJP001_MCF7_6H:BRD-K13566078-003-03-7:2	LJP001_MCF7_6H:BRD-K13566078-003-03-7:10	0.0217
LJP001_SKBR3_6H:BRD-K13566078-003-03-7:2	LJP001_SKBR3_6H:BRD-K13566078-003-03-7:10	0.3586
AICHI001_TMD8_4H:O13	AICHI001_TMD8_4H:O14	0.182
AICHI001_TMD8_4H:F19	AICHI001_TMD8_4H:F20	0.7698
LKCP001_A549_6H:K13	LKCP001_A549_6H:K14	0.3202
KTOX002_HPTEC_6H:BRD-K13959223:100	KTOX002_HPTEC_6H:BRD-K13959223:1	0.0021
KTOX002_HPTEC_6H:BRD-K13959223:100	KTOX002_HPTEC_6H:BRD-K13959223:31.6	0.406
KTOX002_HPTEC_6H:BRD-K13959223:1	KTOX002_HPTEC_6H:BRD-K13959223:31.6	0.0636
AICHI002_OCILY19_4H:A08	AICHI002_OCILY19_4H:A07	0.1877
AICHI002_TMD8_4H:A07	AICHI002_TMD8_4H:A08	-0.0037
HOG002_A549_6H:BRD-K15108141-001-01-7:1.2333	HOG002_A549_6H:BRD-K15108141-001-01-7:11.1	0.5595
RAD001_A549_6H:BRD-K15108141-003-01-3:1.1111	RAD001_A549_6H:BRD-K15108141-003-01-3:10	0.5264
HOG002_MCF7_6H:BRD-K15108141-001-01-7:11.1	HOG002_MCF7_6H:BRD-K15108141-001-01-7:1.2333	0.5505
LJP002_SKBR3_6H:BRD-K16189898-001-07-8:10	LJP002_SKBR3_6H:BRD-K16189898-001-07-8:2	0.2614
AICHI001_OCILY19_4H:L08	AICHI001_OCILY19_4H:L07	0.1652
AICHI001_TMD8_4H:L08	AICHI001_TMD8_4H:L07	0.1649
REP.A002_HELA_3H:H13	REP.A002_HELA_3H:H14	0.551
REP.A002_HELA_3H:J07	REP.A002_HELA_3H:J09	0.4148
HOG002_MCF7_6H:BRD-K18190982-002-01-2:3.7	HOG002_MCF7_6H:BRD-K18190982-002-01-2:11.1	0.3482
CVD001_HEPG2_6H:BRD-K18710049-001-01-0:10.0685	CVD001_HEPG2_6H:BRD-K18710049-001-01-0:2.5171	0.1594
CVD001_HEPG2_6H:BRD-K18787491-001-05-2:13.141	CVD001_HEPG2_6H:BRD-K18787491-001-05-2:3.2852	0.5566
EMU001_THP1_6H:N01	EMU001_THP1_3H:N01	0.5542
LKCP002_A549_6H:G08	LKCP002_A549_6H:G07	0.3987
LKCP002_U2OS_6H:G08	LKCP002_U2OS_6H:G07	0.5482
LJP002_MCF7_6H:BRD-K19220233-001-02-3:2	LJP002_MCF7_6H:BRD-K19220233-001-02-3:10	0.5537
EMU001_BJAB_6H:M01	EMU001_BJAB_3H:M01	0.4852
EMU001_THP1_3H:M01	EMU001_THP1_6H:M01	0.6678
EMU001_THP1_3H:M19	EMU001_THP1_6H:M19	0.4155
LJP006_HME1_3H:M19	LJP006_HME1_3H:M21	0.1835
EMU001_MINO_6H:L13	EMU001_MINO_3H:L13	0.5735
EMU001_THP1_3H:L13	EMU001_THP1_6H:L13	0.5808
EMU001_TMD8_6H:L13	EMU001_TMD8_3H:L13	0.6674
LKCP002_U2OS_6H:L05	LKCP002_U2OS_6H:L04	0.3865
CVD001_HEPG2_6H:BRD-K19876534-001-01-0:10.0701	CVD001_HEPG2_6H:BRD-K19876534-001-01-0:2.5175	0.5366
CVD001_HUH7_6H:BRD-K19876534-001-01-0:2.5175	CVD001_HUH7_6H:BRD-K19876534-001-01-0:10.0701	0.5627
KTOX002_HPTEC_6H:BRD-K19925945:100	KTOX002_HPTEC_6H:BRD-K19925945:3.2	0.1935
KTOX002_HPTEC_6H:BRD-K19925945:100	KTOX002_HPTEC_6H:BRD-K19925945:31.6	0.6646
KTOX002_HPTEC_6H:BRD-K19925945:3.2	KTOX002_HPTEC_6H:BRD-K19925945:31.6	0.2662
LJP001_SKBR3_6H:BRD-K20285085-001-03-0:10	LJP001_SKBR3_6H:BRD-K20285085-001-03-0:2	0.3736
HOG002_A549_6H:BRD-K20755323-001-02-6:3.3333	HOG002_A549_6H:BRD-K20755323-001-02-6:10	0.5706
ASG003_A549_6H:J10	ASG003_A549_6H:J11	0.3243
HOG002_A549_6H:BRD-K21680192-300-10-2:3.33	HOG002_A549_6H:BRD-K21680192-300-10-2:10	0.6632
HOG002_A549_6H:BRD-K21680192-300-10-2:3.33	HOG002_A549_6H:BRD-K21680192-300-10-2:1.11	0.6262
HOG002_A549_6H:BRD-K21680192-300-10-2:10	HOG002_A549_6H:BRD-K21680192-300-10-2:1.11	0.3457
AICHI001_BJAB_4H:K08	AICHI001_BJAB_4H:K07	0.7145
EMU001_BJAB_6H:C20	EMU001_BJAB_3H:C19	0.7505
EMU001_BJAB_6H:C20	EMU001_BJAB_3H:C20	0.7353
EMU001_BJAB_3H:C19	EMU001_BJAB_3H:C20	0.6585
CVD001_HEPG2_6H:BRD-K21680192-300-04-5:2.5	CVD001_HEPG2_6H:BRD-K21680192-300-04-5:10	0.5977
