Sample1	Sample2	GSE70138-Knockdown_96h
TA.KD009_A549_96H:TRCN0000425611:1	TA.KD009_A549_96H:TRCN0000062544:1	-0.1321
TA.KD009_A549_96H:TRCN0000425611:1	TA.KD009_A549_96H:TRCN0000418097:1	0.1163
TA.KD009_A549_96H:TRCN0000062545:1	TA.KD009_A549_96H:TRCN0000062547:1	-0.0461
TA.KD009_A549_96H:TRCN0000062545:1	TA.KD009_A549_96H:TRCN0000062544:1	-0.091
TA.KD009_A549_96H:TRCN0000062545:1	TA.KD009_A549_96H:TRCN0000418097:1	0.2701
TA.KD009_A549_96H:TRCN0000062547:1	TA.KD009_A549_96H:TRCN0000062544:1	0.2044
TA.KD009_A549_96H:TRCN0000062547:1	TA.KD009_A549_96H:TRCN0000418097:1	-0.004
TA.KD009_A549_96H:TRCN0000062544:1	TA.KD009_A549_96H:TRCN0000418097:1	0.0279
TA.KD010_A549_96H:TRCN0000237829:1	TA.KD010_A549_96H:TRCN0000237828:1	0.1873
TA.KD010_A549_96H:TRCN0000237829:1	TA.KD010_A549_96H:TRCN0000244294:1	0.0628
TA.KD010_A549_96H:TRCN0000237829:1	TA.KD010_A549_96H:TRCN0000237830:1	0.1148
TA.KD010_A549_96H:TRCN0000237829:1	TA.KD010_A549_96H:TRCN0000040097:1	0.1055
TA.KD010_A549_96H:TRCN0000237829:1	TA.KD010_A549_96H:TRCN0000040093:1	-0.0999
TA.KD010_A549_96H:TRCN0000237829:1	TA.KD010_A549_96H:TRCN0000010296:1	-0.0019
TA.KD010_A549_96H:TRCN0000237828:1	TA.KD010_A549_96H:TRCN0000244294:1	0.0577
TA.KD010_A549_96H:TRCN0000237828:1	TA.KD010_A549_96H:TRCN0000237830:1	-0.0425
TA.KD010_A549_96H:TRCN0000237828:1	TA.KD010_A549_96H:TRCN0000040097:1	0.1481
TA.KD010_A549_96H:TRCN0000237828:1	TA.KD010_A549_96H:TRCN0000040093:1	0.0747
TA.KD010_A549_96H:TRCN0000237828:1	TA.KD010_A549_96H:TRCN0000010296:1	-0.044
TA.KD010_A549_96H:TRCN0000244294:1	TA.KD010_A549_96H:TRCN0000237830:1	0.0421
TA.KD010_A549_96H:TRCN0000244294:1	TA.KD010_A549_96H:TRCN0000040097:1	0.0955
TA.KD010_A549_96H:TRCN0000244294:1	TA.KD010_A549_96H:TRCN0000040093:1	-0.0117
TA.KD010_A549_96H:TRCN0000244294:1	TA.KD010_A549_96H:TRCN0000010296:1	0.0048
TA.KD010_A549_96H:TRCN0000237830:1	TA.KD010_A549_96H:TRCN0000040097:1	0.0312
TA.KD010_A549_96H:TRCN0000237830:1	TA.KD010_A549_96H:TRCN0000040093:1	0.0569
TA.KD010_A549_96H:TRCN0000237830:1	TA.KD010_A549_96H:TRCN0000010296:1	0.0211
TA.KD010_A549_96H:TRCN0000040097:1	TA.KD010_A549_96H:TRCN0000040093:1	0.1308
TA.KD010_A549_96H:TRCN0000040097:1	TA.KD010_A549_96H:TRCN0000010296:1	0.0308
TA.KD010_A549_96H:TRCN0000040093:1	TA.KD010_A549_96H:TRCN0000010296:1	0.013
TA.KD009_A549_96H:TRCN0000199244:1	TA.KD009_A549_96H:TRCN0000315027:1	0.0103
TA.KD009_A549_96H:TRCN0000199244:1	TA.KD009_A549_96H:TRCN0000000568:1	0.0057
TA.KD009_A549_96H:TRCN0000199244:1	TA.KD009_A549_96H:TRCN0000380490:1	-0.022
TA.KD009_A549_96H:TRCN0000199244:1	TA.KD009_A549_96H:TRCN0000315028:1	-0.1214
TA.KD009_A549_96H:TRCN0000199244:1	TA.KD009_A549_96H:TRCN0000315030:1	0.1078
TA.KD009_A549_96H:TRCN0000315027:1	TA.KD009_A549_96H:TRCN0000000568:1	0.0428
TA.KD009_A549_96H:TRCN0000315027:1	TA.KD009_A549_96H:TRCN0000380490:1	-0.0342
TA.KD009_A549_96H:TRCN0000315027:1	TA.KD009_A549_96H:TRCN0000315028:1	0.155
TA.KD009_A549_96H:TRCN0000315027:1	TA.KD009_A549_96H:TRCN0000315030:1	-0.011
TA.KD009_A549_96H:TRCN0000000568:1	TA.KD009_A549_96H:TRCN0000380490:1	-0.0047
TA.KD009_A549_96H:TRCN0000000568:1	TA.KD009_A549_96H:TRCN0000315028:1	0.2062
TA.KD009_A549_96H:TRCN0000000568:1	TA.KD009_A549_96H:TRCN0000315030:1	0.0036
TA.KD009_A549_96H:TRCN0000380490:1	TA.KD009_A549_96H:TRCN0000315028:1	0.0757
TA.KD009_A549_96H:TRCN0000380490:1	TA.KD009_A549_96H:TRCN0000315030:1	0.1153
TA.KD009_A549_96H:TRCN0000315028:1	TA.KD009_A549_96H:TRCN0000315030:1	0.2126
TA.KD009_A549_96H:TRCN0000059089:1	TA.KD009_A549_96H:TRCN0000059088:1	0.0683
TA.KD009_A549_96H:TRCN0000059089:1	TA.KD009_A549_96H:TRCN0000059090:1	0.0323
TA.KD009_A549_96H:TRCN0000059089:1	TA.KD009_A549_96H:TRCN0000059091:1	0.1701
TA.KD009_A549_96H:TRCN0000059089:1	TA.KD009_A549_96H:TRCN0000358749:1	0.0831
TA.KD009_A549_96H:TRCN0000059089:1	TA.KD009_A549_96H:TRCN0000344652:1	0.027
TA.KD009_A549_96H:TRCN0000059089:1	TA.KD009_A549_96H:TRCN0000059092:1	-0.0815
TA.KD009_A549_96H:TRCN0000059088:1	TA.KD009_A549_96H:TRCN0000059090:1	-0.1123
TA.KD009_A549_96H:TRCN0000059088:1	TA.KD009_A549_96H:TRCN0000059091:1	0.0155
TA.KD009_A549_96H:TRCN0000059088:1	TA.KD009_A549_96H:TRCN0000358749:1	-0.0189
TA.KD009_A549_96H:TRCN0000059088:1	TA.KD009_A549_96H:TRCN0000344652:1	0.2529
TA.KD009_A549_96H:TRCN0000059088:1	TA.KD009_A549_96H:TRCN0000059092:1	0.0222
TA.KD009_A549_96H:TRCN0000059090:1	TA.KD009_A549_96H:TRCN0000059091:1	0.046
TA.KD009_A549_96H:TRCN0000059090:1	TA.KD009_A549_96H:TRCN0000358749:1	0.2038
TA.KD009_A549_96H:TRCN0000059090:1	TA.KD009_A549_96H:TRCN0000344652:1	-0.0252
TA.KD009_A549_96H:TRCN0000059090:1	TA.KD009_A549_96H:TRCN0000059092:1	-0.0937
TA.KD009_A549_96H:TRCN0000059091:1	TA.KD009_A549_96H:TRCN0000358749:1	0.0665
TA.KD009_A549_96H:TRCN0000059091:1	TA.KD009_A549_96H:TRCN0000344652:1	0.0226
