Sample1	Sample2	Jaccard	Pearson	Spearman	Cosine_diffshRNA
TA.KD010_A549_96H:TRCN0000033293:1	TA.KD010_A549_96H:TRCN0000195144:1	0.4509	-0.0392	-0.0801	-0.0386
TA.KD010_A549_96H:TRCN0000033293:1	TA.KD010_A549_96H:TRCN0000033290:1	0.5378	0.0529	0.0648	0.0539
TA.KD010_A549_96H:TRCN0000033293:1	TA.KD010_A549_96H:TRCN0000195671:1	0.5041	0.0691	0.042	0.0691
TA.KD010_A549_96H:TRCN0000033289:1	TA.KD010_A549_96H:TRCN0000033291:1	0.5031	0.0383	0.0273	0.0402
TA.KD010_A549_96H:TRCN0000033289:1	TA.KD010_A549_96H:TRCN0000033292:1	0.5389	0.0397	0.0619	0.0432
TA.KD010_A549_96H:TRCN0000033289:1	TA.KD010_A549_96H:TRCN0000195144:1	0.4519	-0.0589	-0.1208	-0.0581
TA.KD010_A549_96H:TRCN0000033289:1	TA.KD010_A549_96H:TRCN0000033290:1	0.5256	0.023	0.0491	0.0243
TA.KD010_A549_96H:TRCN0000033289:1	TA.KD010_A549_96H:TRCN0000195671:1	0.4448	-0.0628	-0.1116	-0.0627
TA.KD010_A549_96H:TRCN0000033291:1	TA.KD010_A549_96H:TRCN0000033292:1	0.6104	0.1982	0.2472	0.202
TA.KD010_A549_96H:TRCN0000033291:1	TA.KD010_A549_96H:TRCN0000195144:1	0.455	-0.0264	-0.0859	-0.0254
TA.KD010_A549_96H:TRCN0000033291:1	TA.KD010_A549_96H:TRCN0000033290:1	0.501	0.0385	0.0418	0.0402
TA.KD010_A549_96H:TRCN0000033291:1	TA.KD010_A549_96H:TRCN0000195671:1	0.4223	-0.1403	-0.2056	-0.1399
TA.KD010_A549_96H:TRCN0000033292:1	TA.KD010_A549_96H:TRCN0000195144:1	0.41	-0.1117	-0.2099	-0.1092
TA.KD010_A549_96H:TRCN0000033292:1	TA.KD010_A549_96H:TRCN0000033290:1	0.5164	0.0839	0.0733	0.0868
TA.KD010_A549_96H:TRCN0000033292:1	TA.KD010_A549_96H:TRCN0000195671:1	0.4356	-0.0589	-0.1379	-0.0584
TA.KD010_A549_96H:TRCN0000195144:1	TA.KD010_A549_96H:TRCN0000033290:1	0.4652	0.0036	-0.0566	0.0043
TA.KD010_A549_96H:TRCN0000195144:1	TA.KD010_A549_96H:TRCN0000195671:1	0.5961	0.2354	0.261	0.2354
TA.KD010_A549_96H:TRCN0000033290:1	TA.KD010_A549_96H:TRCN0000195671:1	0.5123	0.1151	0.0458	0.1151
TA.KD010_A549_96H:TRCN0000050561:1	TA.KD010_A549_96H:TRCN0000050560:1	0.5235	0.1374	0.1066	0.1403
TA.KD010_A549_96H:TRCN0000050561:1	TA.KD010_A549_96H:TRCN0000050559:1	0.5542	0.151	0.1052	0.1534
TA.KD010_A549_96H:TRCN0000050560:1	TA.KD010_A549_96H:TRCN0000050559:1	0.6278	0.4608	0.4183	0.4622
TA.KD010_A549_96H:TRCN0000035904:1	TA.KD010_A549_96H:TRCN0000035906:1	0.5143	0.093	0.0823	0.0946
TA.KD010_A549_96H:TRCN0000035904:1	TA.KD010_A549_96H:TRCN0000312600:1	0.4734	0.0329	-0.0194	0.0347
TA.KD010_A549_96H:TRCN0000035904:1	TA.KD010_A549_96H:TRCN0000312599:1	0.5736	0.1855	0.1766	0.1872
TA.KD010_A549_96H:TRCN0000035904:1	TA.KD010_A549_96H:TRCN0000312534:1	0.5184	0.0491	0.0326	0.0518
TA.KD010_A549_96H:TRCN0000035904:1	TA.KD010_A549_96H:TRCN0000327735:1	0.5082	0.0578	0.0534	0.059
TA.KD010_A549_96H:TRCN0000035904:1	TA.KD010_A549_96H:TRCN0000327660:1	0.5685	0.1468	0.1664	0.1496
TA.KD010_A549_96H:TRCN0000035906:1	TA.KD010_A549_96H:TRCN0000312600:1	0.5133	0.1291	0.0589	0.13
TA.KD010_A549_96H:TRCN0000035906:1	TA.KD010_A549_96H:TRCN0000312599:1	0.5256	0.0823	0.069	0.0834
TA.KD010_A549_96H:TRCN0000035906:1	TA.KD010_A549_96H:TRCN0000312534:1	0.455	-0.0362	-0.1017	-0.0346
TA.KD010_A549_96H:TRCN0000035906:1	TA.KD010_A549_96H:TRCN0000327735:1	0.4591	-0.0519	-0.0691	-0.0511
TA.KD010_A549_96H:TRCN0000035906:1	TA.KD010_A549_96H:TRCN0000327660:1	0.4499	-0.0687	-0.127	-0.0668
TA.KD010_A549_96H:TRCN0000312600:1	TA.KD010_A549_96H:TRCN0000312599:1	0.4806	-0.0118	-0.046	-0.0107
TA.KD010_A549_96H:TRCN0000312600:1	TA.KD010_A549_96H:TRCN0000312534:1	0.5061	0.0602	0.0545	0.0616
TA.KD010_A549_96H:TRCN0000312600:1	TA.KD010_A549_96H:TRCN0000327735:1	0.5102	0.0265	0.0208	0.0271
TA.KD010_A549_96H:TRCN0000312600:1	TA.KD010_A549_96H:TRCN0000327660:1	0.4949	0.0206	-0.0033	0.0223
TA.KD010_A549_96H:TRCN0000312599:1	TA.KD010_A549_96H:TRCN0000312534:1	0.5123	0.0819	0.0561	0.0836
TA.KD010_A549_96H:TRCN0000312599:1	TA.KD010_A549_96H:TRCN0000327735:1	0.5613	0.1327	0.1394	0.1334
TA.KD010_A549_96H:TRCN0000312599:1	TA.KD010_A549_96H:TRCN0000327660:1	0.4949	0.0101	-0.0014	0.0122
TA.KD010_A549_96H:TRCN0000312534:1	TA.KD010_A549_96H:TRCN0000327735:1	0.5562	0.0948	0.1529	0.0958
TA.KD010_A549_96H:TRCN0000312534:1	TA.KD010_A549_96H:TRCN0000327660:1	0.547	0.107	0.129	0.1094
TA.KD010_A549_96H:TRCN0000327735:1	TA.KD010_A549_96H:TRCN0000327660:1	0.5675	0.1614	0.1747	0.1624
TA.KD007_DLD1_96H:TRCN0000307113:4	TA.KD007_DLD1_96H:TRCN0000049369:4	0.6493	0.4657	0.441	0.4663
TA.KD007_DLD1_96H:TRCN0000307113:4	TA.KD007_DLD1_96H:TRCN0000049368:4	0.6769	0.4113	0.433	0.411
TA.KD007_DLD1_96H:TRCN0000049369:4	TA.KD007_DLD1_96H:TRCN0000049368:4	0.6472	0.4032	0.4006	0.403
TA.KD007_HT29_96H:TRCN0000307113:4	TA.KD007_HT29_96H:TRCN0000049369:4	0.5092	0.0902	0.0305	0.0902
TA.KD007_HT29_96H:TRCN0000307113:4	TA.KD007_HT29_96H:TRCN0000307111:4	0.5378	0.1755	0.1278	0.1753
TA.KD007_HT29_96H:TRCN0000049369:4	TA.KD007_HT29_96H:TRCN0000307111:4	0.4806	0.0866	-0.0299	0.086
TA.KD010_A549_96H:TRCN0000231508:1	TA.KD010_A549_96H:TRCN0000231599:1	0.5215	0.1113	0.1003	0.1118
TA.KD010_A549_96H:TRCN0000231508:1	TA.KD010_A549_96H:TRCN0000231600:1	0.5317	0.1333	0.1256	0.1337
TA.KD010_A549_96H:TRCN0000231508:1	TA.KD010_A549_96H:TRCN0000231509:1	0.5838	0.2418	0.2498	0.2422
TA.KD010_A549_96H:TRCN0000231508:1	TA.KD010_A549_96H:TRCN0000381088:1	0.4744	-0.0211	-0.0446	-0.0201
TA.KD010_A549_96H:TRCN0000231599:1	TA.KD010_A549_96H:TRCN0000231600:1	0.4581	-0.022	-0.0776	-0.0207
TA.KD010_A549_96H:TRCN0000231599:1	TA.KD010_A549_96H:TRCN0000231509:1	0.498	0.0827	0.0214	0.0841
TA.KD010_A549_96H:TRCN0000231599:1	TA.KD010_A549_96H:TRCN0000381088:1	0.5072	0.0612	0.0408	0.0634
TA.KD010_A549_96H:TRCN0000231600:1	TA.KD010_A549_96H:TRCN0000231509:1	0.5532	0.1969	0.1959	0.1981
TA.KD010_A549_96H:TRCN0000231600:1	TA.KD010_A549_96H:TRCN0000381088:1	0.5092	0.0397	0.0194	0.0417
TA.KD010_A549_96H:TRCN0000231509:1	TA.KD010_A549_96H:TRCN0000381088:1	0.5276	0.0543	0.0477	0.0569
TA.KD007_HT29_96H:TRCN0000379835:4	TA.KD007_HT29_96H:TRCN0000002765:4	0.5491	0.1916	0.1883	0.1924
TA.KD007_HT29_96H:TRCN0000379835:4	TA.KD007_HT29_96H:TRCN0000002767:4	0.6166	0.3671	0.3578	0.3676
TA.KD007_HT29_96H:TRCN0000379835:4	TA.KD007_HT29_96H:TRCN0000279950:4	0.5573	0.1816	0.1789	0.1828
TA.KD007_HT29_96H:TRCN0000002765:4	TA.KD007_HT29_96H:TRCN0000002767:4	0.5685	0.2065	0.2177	0.2074
TA.KD007_HT29_96H:TRCN0000002765:4	TA.KD007_HT29_96H:TRCN0000279950:4	0.5859	0.2722	0.2817	0.2738
TA.KD007_HT29_96H:TRCN0000002767:4	TA.KD007_HT29_96H:TRCN0000279950:4	0.5798	0.2331	0.2167	0.2344
TA.KD007_HT29_96H:TRCN0000289016:4	TA.KD007_HT29_96H:TRCN0000037790:4	0.5798	0.2636	0.2344	0.2635
TA.KD007_HT29_96H:TRCN0000289016:4	TA.KD007_HT29_96H:TRCN0000037791:4	0.5869	0.2314	0.2455	0.2312
TA.KD007_HT29_96H:TRCN0000037790:4	TA.KD007_HT29_96H:TRCN0000037791:4	0.4908	0.0453	0.0112	0.0442
EKW001_PC3_120H:TRCN0000196328:2	EKW001_PC3_120H:TRCN0000195491:2	0.5644	0.1443	0.1535	0.1452
EKW001_PC3_120H:TRCN0000196328:2	EKW001_PC3_120H:TRCN0000197152:2	0.4755	0.0304	-0.0344	0.0314
EKW001_PC3_120H:TRCN0000196328:2	CGS001_PC3_144H:PRKDC:2	0.4581	-0.0561	-0.0891	-0.0572
EKW001_PC3_120H:TRCN0000195491:2	EKW001_PC3_120H:TRCN0000197152:2	0.4162	-0.0845	-0.1464	-0.083
EKW001_PC3_120H:TRCN0000195491:2	CGS001_PC3_144H:PRKDC:2	0.4928	-0.0445	-0.0543	-0.046
EKW001_PC3_120H:TRCN0000197152:2	CGS001_PC3_144H:PRKDC:2	0.5072	0.0319	0.0316	0.0304
EKW001_SHSY5Y_120H:TRCN0000197152:2	EKW001_SHSY5Y_120H:TRCN0000195491:2	0.4877	0.025	-0.0368	0.0235
EKW001_SHSY5Y_120H:TRCN0000197152:2	EKW001_SHSY5Y_120H:TRCN0000196328:2	0.41	-0.1094	-0.1938	-0.11
EKW001_SHSY5Y_120H:TRCN0000195491:2	EKW001_SHSY5Y_120H:TRCN0000196328:2	0.5777	0.2345	0.2305	0.2353
TA.KD007_DLD1_96H:TRCN0000005206:4	TA.KD007_DLD1_96H:TRCN0000005207:4	0.4387	-0.0081	-0.1097	-0.0081
TA.KD007_DLD1_96H:TRCN0000005206:4	TA.KD007_DLD1_96H:TRCN0000005208:4	0.4724	0.0077	-0.0579	0.0076
TA.KD007_DLD1_96H:TRCN0000005207:4	TA.KD007_DLD1_96H:TRCN0000005208:4	0.5593	0.1407	0.171	0.1411
TA.KD007_HT29_96H:TRCN0000005209:4	TA.KD007_HT29_96H:TRCN0000005208:4	0.4693	0.0149	-0.0279	0.014
TA.KD007_HT29_96H:TRCN0000005209:4	TA.KD007_HT29_96H:TRCN0000005206:4	0.5429	0.1052	0.1101	0.1057
TA.KD007_HT29_96H:TRCN0000005209:4	TA.KD007_HT29_96H:TRCN0000005210:4	0.5961	0.2458	0.2767	0.2463
TA.KD007_HT29_96H:TRCN0000005209:4	TA.KD007_HT29_96H:TRCN0000005207:4	0.546	0.2095	0.1742	0.2092
TA.KD007_HT29_96H:TRCN0000005208:4	TA.KD007_HT29_96H:TRCN0000005206:4	0.4611	-0.0753	-0.0997	-0.0756
TA.KD007_HT29_96H:TRCN0000005208:4	TA.KD007_HT29_96H:TRCN0000005210:4	0.4888	0.0581	0.0085	0.0576
TA.KD007_HT29_96H:TRCN0000005208:4	TA.KD007_HT29_96H:TRCN0000005207:4	0.4673	0.0193	-0.0261	0.0194
TA.KD007_HT29_96H:TRCN0000005206:4	TA.KD007_HT29_96H:TRCN0000005210:4	0.5542	0.1531	0.1716	0.1534
TA.KD007_HT29_96H:TRCN0000005206:4	TA.KD007_HT29_96H:TRCN0000005207:4	0.5808	0.1843	0.1838	0.1842
TA.KD007_HT29_96H:TRCN0000005210:4	TA.KD007_HT29_96H:TRCN0000005207:4	0.5757	0.2015	0.2182	0.2013
TA.KD007_HT29_96H:TRCN0000000720:4	TA.KD007_HT29_96H:TRCN0000219890:4	0.5174	0.0462	0.0488	0.0468
TA.KD007_HT29_96H:TRCN0000000720:4	TA.KD007_HT29_96H:TRCN0000000721:4	0.4049	-0.1458	-0.2284	-0.1458
TA.KD007_HT29_96H:TRCN0000000720:4	TA.KD007_HT29_96H:TRCN0000000723:4	0.5757	0.1925	0.1897	0.1925
TA.KD007_HT29_96H:TRCN0000000720:4	TA.KD007_HT29_96H:TRCN0000000722:4	0.5624	0.1635	0.1641	0.1639
TA.KD007_HT29_96H:TRCN0000219890:4	TA.KD007_HT29_96H:TRCN0000000721:4	0.5358	0.1221	0.0846	0.1219
TA.KD007_HT29_96H:TRCN0000219890:4	TA.KD007_HT29_96H:TRCN0000000723:4	0.4959	-0.0043	-0.0194	-0.0041
TA.KD007_HT29_96H:TRCN0000219890:4	TA.KD007_HT29_96H:TRCN0000000722:4	0.5051	0.0581	0.0211	0.0586
TA.KD007_HT29_96H:TRCN0000000721:4	TA.KD007_HT29_96H:TRCN0000000723:4	0.3916	-0.1511	-0.2366	-0.1511
TA.KD007_HT29_96H:TRCN0000000721:4	TA.KD007_HT29_96H:TRCN0000000722:4	0.4714	0.0442	-0.0065	0.0441
TA.KD007_HT29_96H:TRCN0000000723:4	TA.KD007_HT29_96H:TRCN0000000722:4	0.5675	0.1538	0.1577	0.1538
TA.KD007_DLD1_96H:TRCN0000003921:4	TA.KD007_DLD1_96H:TRCN0000003925:4	0.6933	0.5597	0.5574	0.5597
TA.KD007_DLD1_96H:TRCN0000003921:4	TA.KD007_DLD1_96H:TRCN0000003923:4	0.6299	0.3647	0.3495	0.3647
TA.KD007_DLD1_96H:TRCN0000003921:4	TA.KD007_DLD1_96H:TRCN0000003924:4	0.5971	0.3261	0.2843	0.326
TA.KD007_DLD1_96H:TRCN0000003921:4	TA.KD007_DLD1_96H:TRCN0000003922:4	0.5552	0.1757	0.1654	0.1757
TA.KD007_DLD1_96H:TRCN0000003925:4	TA.KD007_DLD1_96H:TRCN0000003923:4	0.6912	0.5522	0.5231	0.5524
TA.KD007_DLD1_96H:TRCN0000003925:4	TA.KD007_DLD1_96H:TRCN0000003924:4	0.5992	0.3611	0.3258	0.3615
TA.KD007_DLD1_96H:TRCN0000003925:4	TA.KD007_DLD1_96H:TRCN0000003922:4	0.5286	0.0679	0.0661	0.0682
TA.KD007_DLD1_96H:TRCN0000003923:4	TA.KD007_DLD1_96H:TRCN0000003924:4	0.6053	0.3312	0.3049	0.3325
TA.KD007_DLD1_96H:TRCN0000003923:4	TA.KD007_DLD1_96H:TRCN0000003922:4	0.5511	0.1364	0.1538	0.1369
TA.KD007_DLD1_96H:TRCN0000003924:4	TA.KD007_DLD1_96H:TRCN0000003922:4	0.5552	0.1331	0.1475	0.1337
TA.KD007_HT29_96H:TRCN0000003922:4	TA.KD007_HT29_96H:TRCN0000003925:4	0.6892	0.5408	0.5164	0.541
TA.KD007_HT29_96H:TRCN0000003922:4	TA.KD007_HT29_96H:TRCN0000003924:4	0.6994	0.5125	0.5148	0.5127
TA.KD007_HT29_96H:TRCN0000003922:4	TA.KD007_HT29_96H:TRCN0000003923:4	0.6728	0.5135	0.4754	0.5136
TA.KD007_HT29_96H:TRCN0000003925:4	TA.KD007_HT29_96H:TRCN0000003924:4	0.7382	0.672	0.637	0.6723
TA.KD007_HT29_96H:TRCN0000003925:4	TA.KD007_HT29_96H:TRCN0000003923:4	0.7505	0.7275	0.7036	0.7279
TA.KD007_HT29_96H:TRCN0000003924:4	TA.KD007_HT29_96H:TRCN0000003923:4	0.6789	0.573	0.5176	0.5735
TA.KD007_DLD1_96H:TRCN0000020263:4	TA.KD007_DLD1_96H:TRCN0000020259:4	0.5726	0.2625	0.2478	0.2625
TA.KD007_DLD1_96H:TRCN0000020263:4	TA.KD007_DLD1_96H:TRCN0000020261:4	0.5389	0.2665	0.2284	0.2665
TA.KD007_DLD1_96H:TRCN0000020259:4	TA.KD007_DLD1_96H:TRCN0000020261:4	0.59	0.3327	0.2965	0.3328
TA.KD007_HT29_96H:TRCN0000020263:4	TA.KD007_HT29_96H:TRCN0000352809:4	0.6626	0.4789	0.4847	0.4797
TA.KD007_HT29_96H:TRCN0000020263:4	TA.KD007_HT29_96H:TRCN0000020261:4	0.6544	0.4752	0.4698	0.4757
TA.KD007_HT29_96H:TRCN0000020263:4	TA.KD007_HT29_96H:TRCN0000020262:4	0.6012	0.3163	0.2924	0.3169
TA.KD007_HT29_96H:TRCN0000020263:4	TA.KD007_HT29_96H:TRCN0000020259:4	0.6104	0.4176	0.3713	0.4179
TA.KD007_HT29_96H:TRCN0000352809:4	TA.KD007_HT29_96H:TRCN0000020261:4	0.7014	0.6453	0.6127	0.6457
TA.KD007_HT29_96H:TRCN0000352809:4	TA.KD007_HT29_96H:TRCN0000020262:4	0.6309	0.4424	0.4096	0.4429
TA.KD007_HT29_96H:TRCN0000352809:4	TA.KD007_HT29_96H:TRCN0000020259:4	0.5798	0.4425	0.3362	0.4427
TA.KD007_HT29_96H:TRCN0000020261:4	TA.KD007_HT29_96H:TRCN0000020262:4	0.638	0.4482	0.4119	0.4486
TA.KD007_HT29_96H:TRCN0000020261:4	TA.KD007_HT29_96H:TRCN0000020259:4	0.682	0.631	0.5818	0.6311
TA.KD007_HT29_96H:TRCN0000020262:4	TA.KD007_HT29_96H:TRCN0000020259:4	0.5838	0.3253	0.254	0.3256
TA.KD007_HT29_96H:TRCN0000290093:4	TA.KD007_HT29_96H:TRCN0000058090:4	0.7587	0.6584	0.6522	0.6586
TA.KD007_HT29_96H:TRCN0000290093:4	TA.KD007_HT29_96H:TRCN0000058089:4	0.681	0.5826	0.5231	0.5828
TA.KD007_HT29_96H:TRCN0000290093:4	TA.KD007_HT29_96H:TRCN0000290022:4	0.683	0.6325	0.5519	0.6327
TA.KD007_HT29_96H:TRCN0000290093:4	CGS001_HT29_96H:PSMD2:1	0.7669	0.6976	0.6916	0.6973
TA.KD007_HT29_96H:TRCN0000058090:4	TA.KD007_HT29_96H:TRCN0000058089:4	0.6708	0.5735	0.525	0.5739
TA.KD007_HT29_96H:TRCN0000058090:4	TA.KD007_HT29_96H:TRCN0000290022:4	0.6564	0.5828	0.5098	0.5832
TA.KD007_HT29_96H:TRCN0000058090:4	CGS001_HT29_96H:PSMD2:1	0.7628	0.6576	0.6635	0.6571
TA.KD007_HT29_96H:TRCN0000058089:4	TA.KD007_HT29_96H:TRCN0000290022:4	0.7648	0.7518	0.7123	0.7521
TA.KD007_HT29_96H:TRCN0000058089:4	CGS001_HT29_96H:PSMD2:1	0.6892	0.6709	0.6191	0.6704
TA.KD007_HT29_96H:TRCN0000290022:4	CGS001_HT29_96H:PSMD2:1	0.683	0.6676	0.6124	0.6669
TA.KD010_A549_96H:TRCN0000230372:1	TA.KD010_A549_96H:TRCN0000230370:1	0.5194	0.0845	0.0388	0.0849
TA.KD010_A549_96H:TRCN0000230372:1	TA.KD010_A549_96H:TRCN0000002746:1	0.5358	0.1093	0.105	0.1099
TA.KD010_A549_96H:TRCN0000230372:1	TA.KD010_A549_96H:TRCN0000230371:1	0.4816	-0.0118	-0.0495	-0.011
TA.KD010_A549_96H:TRCN0000230372:1	TA.KD010_A549_96H:TRCN0000002745:1	0.4826	0.0389	0.005	0.0402
TA.KD010_A549_96H:TRCN0000230372:1	TA.KD010_A549_96H:TRCN0000002748:1	0.591	0.2328	0.2528	0.2335
TA.KD010_A549_96H:TRCN0000230372:1	TA.KD010_A549_96H:TRCN0000219043:1	0.5675	0.1507	0.1565	0.1513
TA.KD010_A549_96H:TRCN0000230372:1	TA.KD010_A549_96H:TRCN0000230369:1	0.5429	0.1377	0.1343	0.1376
TA.KD010_A549_96H:TRCN0000230372:1	TA.KD010_A549_96H:TRCN0000355842:1	0.5419	0.1024	0.1206	0.1027
TA.KD010_A549_96H:TRCN0000230372:1	TA.KD010_A549_96H:TRCN0000002747:1	0.4202	-0.1227	-0.1878	-0.1211
TA.KD010_A549_96H:TRCN0000230370:1	TA.KD010_A549_96H:TRCN0000002746:1	0.5337	0.1272	0.1333	0.1279
TA.KD010_A549_96H:TRCN0000230370:1	TA.KD010_A549_96H:TRCN0000230371:1	0.4734	0.0573	-0.0092	0.0582
TA.KD010_A549_96H:TRCN0000230370:1	TA.KD010_A549_96H:TRCN0000002745:1	0.5256	0.1017	0.0634	0.1032
TA.KD010_A549_96H:TRCN0000230370:1	TA.KD010_A549_96H:TRCN0000002748:1	0.5112	0.0363	0.0246	0.0378
TA.KD010_A549_96H:TRCN0000230370:1	TA.KD010_A549_96H:TRCN0000219043:1	0.5736	0.1035	0.1267	0.1044
TA.KD010_A549_96H:TRCN0000230370:1	TA.KD010_A549_96H:TRCN0000230369:1	0.6104	0.3439	0.3403	0.3437
TA.KD010_A549_96H:TRCN0000230370:1	TA.KD010_A549_96H:TRCN0000355842:1	0.6074	0.2647	0.2729	0.265
TA.KD010_A549_96H:TRCN0000230370:1	TA.KD010_A549_96H:TRCN0000002747:1	0.4509	-0.0173	-0.0832	-0.0156
TA.KD010_A549_96H:TRCN0000002746:1	TA.KD010_A549_96H:TRCN0000230371:1	0.5143	0.0517	0.0347	0.0529
TA.KD010_A549_96H:TRCN0000002746:1	TA.KD010_A549_96H:TRCN0000002745:1	0.5399	0.1563	0.1463	0.158
TA.KD010_A549_96H:TRCN0000002746:1	TA.KD010_A549_96H:TRCN0000002748:1	0.636	0.3608	0.3628	0.3618
TA.KD010_A549_96H:TRCN0000002746:1	TA.KD010_A549_96H:TRCN0000219043:1	0.5532	0.1575	0.168	0.1585
TA.KD010_A549_96H:TRCN0000002746:1	TA.KD010_A549_96H:TRCN0000230369:1	0.5511	0.169	0.1533	0.1688
TA.KD010_A549_96H:TRCN0000002746:1	TA.KD010_A549_96H:TRCN0000355842:1	0.5849	0.2586	0.2518	0.259
TA.KD010_A549_96H:TRCN0000002746:1	TA.KD010_A549_96H:TRCN0000002747:1	0.4387	-0.0961	-0.135	-0.0939
TA.KD010_A549_96H:TRCN0000230371:1	TA.KD010_A549_96H:TRCN0000002745:1	0.5102	0.0688	0.0537	0.0716
TA.KD010_A549_96H:TRCN0000230371:1	TA.KD010_A549_96H:TRCN0000002748:1	0.5184	0.0985	0.0811	0.1009
TA.KD010_A549_96H:TRCN0000230371:1	TA.KD010_A549_96H:TRCN0000219043:1	0.4888	0.0055	-0.0286	0.0071
TA.KD010_A549_96H:TRCN0000230371:1	TA.KD010_A549_96H:TRCN0000230369:1	0.4581	-0.0781	-0.1226	-0.0781
TA.KD010_A549_96H:TRCN0000230371:1	TA.KD010_A549_96H:TRCN0000355842:1	0.4346	-0.1279	-0.1609	-0.1271
TA.KD010_A549_96H:TRCN0000230371:1	TA.KD010_A549_96H:TRCN0000002747:1	0.5542	0.1062	0.1038	0.1086
TA.KD010_A549_96H:TRCN0000002745:1	TA.KD010_A549_96H:TRCN0000002748:1	0.5378	0.1089	0.0923	0.1131
TA.KD010_A549_96H:TRCN0000002745:1	TA.KD010_A549_96H:TRCN0000219043:1	0.5409	0.0797	0.093	0.0823
TA.KD010_A549_96H:TRCN0000002745:1	TA.KD010_A549_96H:TRCN0000230369:1	0.5102	0.0555	0.045	0.0552
TA.KD010_A549_96H:TRCN0000002745:1	TA.KD010_A549_96H:TRCN0000355842:1	0.5501	0.1485	0.1444	0.1493
TA.KD010_A549_96H:TRCN0000002745:1	TA.KD010_A549_96H:TRCN0000002747:1	0.5041	0.0256	0.0322	0.0304
TA.KD010_A549_96H:TRCN0000002748:1	TA.KD010_A549_96H:TRCN0000219043:1	0.5695	0.1284	0.1552	0.1306
TA.KD010_A549_96H:TRCN0000002748:1	TA.KD010_A549_96H:TRCN0000230369:1	0.5204	0.0745	0.0726	0.0742
TA.KD010_A549_96H:TRCN0000002748:1	TA.KD010_A549_96H:TRCN0000355842:1	0.5665	0.1844	0.1892	0.185
TA.KD010_A549_96H:TRCN0000002748:1	TA.KD010_A549_96H:TRCN0000002747:1	0.4387	-0.0781	-0.1298	-0.0735
TA.KD010_A549_96H:TRCN0000219043:1	TA.KD010_A549_96H:TRCN0000230369:1	0.6033	0.2402	0.2714	0.2399
TA.KD010_A549_96H:TRCN0000219043:1	TA.KD010_A549_96H:TRCN0000355842:1	0.6125	0.2654	0.2877	0.2658
TA.KD010_A549_96H:TRCN0000219043:1	TA.KD010_A549_96H:TRCN0000002747:1	0.4233	-0.1129	-0.1983	-0.11
TA.KD010_A549_96H:TRCN0000230369:1	TA.KD010_A549_96H:TRCN0000355842:1	0.7065	0.5889	0.6029	0.5887
TA.KD010_A549_96H:TRCN0000230369:1	TA.KD010_A549_96H:TRCN0000002747:1	0.4172	-0.1367	-0.2352	-0.1366
TA.KD010_A549_96H:TRCN0000355842:1	TA.KD010_A549_96H:TRCN0000002747:1	0.4039	-0.1551	-0.243	-0.1537
TAK004_U2OS_96H:TRCN0000196310:1	TAK004_U2OS_96H:TRCN0000121320:1	0.5286	0.1296	0.1164	0.13
TAK004_U2OS_96H:TRCN0000196310:1	TAK004_U2OS_96H:TRCN0000121318:1	0.5798	0.2034	0.1777	0.2041
TAK004_U2OS_96H:TRCN0000196310:1	TAK004_U2OS_96H:TRCN0000001618:1	0.4908	0.0104	-0.0425	0.0112
TAK004_U2OS_96H:TRCN0000196310:1	TAK004_U2OS_96H:TRCN0000194984:1	0.5971	0.2705	0.2773	0.2719
TAK004_U2OS_96H:TRCN0000196310:1	TAK004_U2OS_96H:TRCN0000001620:1	0.5358	0.2066	0.1626	0.2073
TAK004_U2OS_96H:TRCN0000121320:1	TAK004_U2OS_96H:TRCN0000121318:1	0.5634	0.214	0.1937	0.2142
TAK004_U2OS_96H:TRCN0000121320:1	TAK004_U2OS_96H:TRCN0000001618:1	0.4305	-0.0825	-0.1539	-0.0822
TAK004_U2OS_96H:TRCN0000121320:1	TAK004_U2OS_96H:TRCN0000194984:1	0.6145	0.2831	0.3044	0.2833
TAK004_U2OS_96H:TRCN0000121320:1	TAK004_U2OS_96H:TRCN0000001620:1	0.5031	0.1145	0.061	0.1148
TAK004_U2OS_96H:TRCN0000121318:1	TAK004_U2OS_96H:TRCN0000001618:1	0.3855	-0.1117	-0.2238	-0.111
TAK004_U2OS_96H:TRCN0000121318:1	TAK004_U2OS_96H:TRCN0000194984:1	0.684	0.392	0.4767	0.3926
TAK004_U2OS_96H:TRCN0000121318:1	TAK004_U2OS_96H:TRCN0000001620:1	0.4898	0.1492	0.0707	0.1498
TAK004_U2OS_96H:TRCN0000001618:1	TAK004_U2OS_96H:TRCN0000194984:1	0.4376	-0.0707	-0.1472	-0.0689
TAK004_U2OS_96H:TRCN0000001618:1	TAK004_U2OS_96H:TRCN0000001620:1	0.5297	0.0521	0.0674	0.0527
TAK004_U2OS_96H:TRCN0000194984:1	TAK004_U2OS_96H:TRCN0000001620:1	0.4703	0.0642	-0.0156	0.0656
EKW001_PC3_120H:TRCN0000002832:2	CGS001_PC3_144H:PTPN12:2	0.4468	-0.0439	-0.1177	-0.0425
EKW001_PC3_120H:TRCN0000001878:2	EKW001_PC3_120H:TRCN0000001877:2	0.4888	-0.0457	-0.0594	-0.0455
EKW001_PC3_120H:TRCN0000001878:2	EKW001_PC3_120H:TRCN0000001874:2	0.4877	0.017	-0.0191	0.0191
EKW001_PC3_120H:TRCN0000001877:2	EKW001_PC3_120H:TRCN0000001874:2	0.5368	0.1163	0.113	0.1163
