Sample1	Sample2	Jaccard	Pearson	Spearman	Cosine_diffshRNA
TA.KD010_A549_96H:TRCN0000221552:1	CGS001_A549_96H:AKT1:1	0.5951	0.3147	0.28	0.3157
MUC.KD003_P2X2B2_96H:TRCN0000039797:3	MUC.KD003_P2X2B2_96H:TRCN0000010174:3	0.4836	0.0897	-0.0033	0.089
EKW001_PC3_120H:TRCN0000295915:2	EKW001_PC3_120H:TRCN0000288787:2	0.4898	0.0566	-0.0089	0.0612
EKW001_PC3_120H:TRCN0000295915:2	EKW001_PC3_120H:TRCN0000295914:2	0.5082	0.1133	0.063	0.1135
EKW001_PC3_120H:TRCN0000295915:2	CGS001_PC3_96H:AKT1:2	0.5235	0.2453	0.1864	0.2485
EKW001_PC3_120H:TRCN0000295915:2	CGS001_PC3_144H:AKT1:2	0.5348	0.0969	0.0814	0.0929
EKW001_PC3_120H:TRCN0000288787:2	EKW001_PC3_120H:TRCN0000295914:2	0.4949	0.1099	0.04	0.1101
EKW001_PC3_120H:TRCN0000288787:2	CGS001_PC3_96H:AKT1:2	0.5961	0.3273	0.29	0.3306
EKW001_PC3_120H:TRCN0000288787:2	CGS001_PC3_144H:AKT1:2	0.4836	0.1024	0.0343	0.0976
EKW001_PC3_120H:TRCN0000295914:2	CGS001_PC3_96H:AKT1:2	0.4509	0.0264	-0.0842	0.0268
EKW001_PC3_120H:TRCN0000295914:2	CGS001_PC3_144H:AKT1:2	0.5358	0.158	0.0827	0.1574
EKW001_SHSY5Y_120H:TRCN0000295914:2	EKW001_SHSY5Y_120H:TRCN0000295915:2	0.498	0.0699	0.0098	0.0695
EKW001_SHSY5Y_120H:TRCN0000295914:2	EKW001_SHSY5Y_120H:TRCN0000288787:2	0.5082	0.0743	0.0171	0.0737
EKW001_SHSY5Y_120H:TRCN0000295915:2	EKW001_SHSY5Y_120H:TRCN0000288787:2	0.545	0.1455	0.147	0.1459
TA.KD010_A549_96H:TRCN0000422093:1	TA.KD010_A549_96H:TRCN0000426979:1	0.5061	-0.0206	-0.0041	-0.0209
TA.KD010_A549_96H:TRCN0000422093:1	TA.KD010_A549_96H:TRCN0000199017:1	0.5061	-0.0321	-0.011	-0.03
TA.KD010_A549_96H:TRCN0000422093:1	TA.KD010_A549_96H:TRCN0000418856:1	0.4632	-0.0881	-0.1037	-0.0857
TA.KD010_A549_96H:TRCN0000422093:1	TA.KD010_A549_96H:TRCN0000431959:1	0.5573	0.0938	0.12	0.0954
TA.KD010_A549_96H:TRCN0000422093:1	TA.KD010_A549_96H:TRCN0000432650:1	0.5368	0.1143	0.1012	0.1173
TA.KD010_A549_96H:TRCN0000426979:1	TA.KD010_A549_96H:TRCN0000199017:1	0.5808	0.1901	0.2292	0.1899
TA.KD010_A549_96H:TRCN0000426979:1	TA.KD010_A549_96H:TRCN0000418856:1	0.5481	0.1434	0.1467	0.1432
TA.KD010_A549_96H:TRCN0000426979:1	TA.KD010_A549_96H:TRCN0000431959:1	0.5808	0.2411	0.248	0.2409
TA.KD010_A549_96H:TRCN0000426979:1	TA.KD010_A549_96H:TRCN0000432650:1	0.5399	0.0406	0.0532	0.0403
TA.KD010_A549_96H:TRCN0000199017:1	TA.KD010_A549_96H:TRCN0000418856:1	0.5726	0.247	0.2195	0.2477
TA.KD010_A549_96H:TRCN0000199017:1	TA.KD010_A549_96H:TRCN0000431959:1	0.546	0.0631	0.0558	0.0638
