drug-sample	target-sample	jaccard	pearson	spearman	cosine
ASG003_A549_24H:L16	TA.KD009_A549_96H:TRCN0000003377:1	0.5072	0.0459	0.0291	0.0455
ASG003_A549_24H:L16	TA.KD009_A549_96H:TRCN0000355727:1	0.4959	0.1107	0.0331	0.1102
ASG003_A549_24H:L16	TA.KD009_A549_96H:TRCN0000355726:1	0.5532	0.278	0.2364	0.277
ASG003_A549_48H:L16	TA.KD009_A549_96H:TRCN0000003379:1	0.5194	0.0983	0.0814	0.0973
ASG003_A549_48H:L16	TA.KD009_A549_96H:TRCN0000003380:1	0.5389	0.1775	0.1789	0.1767
ASG003_A549_48H:L16	TA.KD009_A549_96H:TRCN0000003376:1	0.5225	0.0464	0.0372	0.0455
ASG003_A549_48H:L16	TA.KD009_A549_96H:TRCN0000355728:1	0.5337	0.1136	0.0927	0.1132
ASG003_A549_48H:L16	TA.KD009_A549_96H:TRCN0000003377:1	0.5245	0.0296	0.0338	0.029
ASG003_A549_48H:L16	TA.KD009_A549_96H:TRCN0000355727:1	0.5051	0.1018	0.0465	0.1012
ASG003_A549_48H:L16	TA.KD009_A549_96H:TRCN0000355726:1	0.5767	0.3073	0.283	0.306
CPC006_A549_6H:BRD-A12230535-001-02-6:44.4	TA.KD009_A549_96H:TRCN0000003379:1	0.4744	-0.011	-0.026	-0.0072
CPC006_A549_6H:BRD-A12230535-001-02-6:44.4	TA.KD009_A549_96H:TRCN0000003380:1	0.4867	0.0276	0.0154	0.0304
CPC006_A549_6H:BRD-A12230535-001-02-6:44.4	TA.KD009_A549_96H:TRCN0000003376:1	0.4601	-0.0254	-0.1086	-0.0214
CPC006_A549_6H:BRD-A12230535-001-02-6:44.4	TA.KD009_A549_96H:TRCN0000355728:1	0.5777	0.2076	0.2012	0.2086
CPC006_A549_6H:BRD-A12230535-001-02-6:44.4	TA.KD009_A549_96H:TRCN0000003377:1	0.5746	0.2134	0.2281	0.2155
CPC006_A549_6H:BRD-A12230535-001-02-6:44.4	TA.KD009_A549_96H:TRCN0000355727:1	0.6125	0.319	0.3367	0.3205
CPC006_A549_6H:BRD-A12230535-001-02-6:44.4	TA.KD009_A549_96H:TRCN0000355726:1	0.6881	0.455	0.4969	0.4571
CPC006_HA1E_6H:BRD-A12230535-001-02-6:44.4	CGS001_HA1E_96H:MDM2:1.5	0.5501	0.1485	0.1687	0.1489
CPC006_A549_24H:BRD-A12230535-001-02-6:44.4	TA.KD009_A549_96H:TRCN0000003379:1	0.4734	0.0359	-0.0164	0.037
CPC006_A549_24H:BRD-A12230535-001-02-6:44.4	TA.KD009_A549_96H:TRCN0000003380:1	0.5112	0.1142	0.0738	0.115
CPC006_A549_24H:BRD-A12230535-001-02-6:44.4	TA.KD009_A549_96H:TRCN0000003376:1	0.4826	0.0415	-0.0266	0.0426
CPC006_A549_24H:BRD-A12230535-001-02-6:44.4	TA.KD009_A549_96H:TRCN0000355728:1	0.5654	0.1989	0.1731	0.1993
CPC006_A549_24H:BRD-A12230535-001-02-6:44.4	TA.KD009_A549_96H:TRCN0000003377:1	0.5583	0.159	0.1597	0.1597
CPC006_A549_24H:BRD-A12230535-001-02-6:44.4	TA.KD009_A549_96H:TRCN0000355727:1	0.6063	0.3249	0.3153	0.3254
CPC006_A549_24H:BRD-A12230535-001-02-6:44.4	TA.KD009_A549_96H:TRCN0000355726:1	0.6452	0.3877	0.4089	0.3883
REP.A010_MCF7_24H:A19	CGS001_MCF7_96H:MDM2:2	0.6043	0.3009	0.2741	0.3004
REP.A010_MCF7_24H:A19	CGS001_MCF7_144H:MDM2:2	0.6155	0.377	0.3542	0.376
REP.A010_A549_24H:A19	TA.KD009_A549_96H:TRCN0000003379:1	0.5133	0.0669	0.0305	0.0691
REP.A010_A549_24H:A19	TA.KD009_A549_96H:TRCN0000003380:1	0.5399	0.1567	0.1515	0.1583
REP.A010_A549_24H:A19	TA.KD009_A549_96H:TRCN0000003376:1	0.4703	0.0216	-0.0329	0.024
REP.A010_A549_24H:A19	TA.KD009_A549_96H:TRCN0000355728:1	0.5573	0.1593	0.1488	0.1601
REP.A010_A549_24H:A19	TA.KD009_A549_96H:TRCN0000003377:1	0.5501	0.0932	0.1141	0.0948
REP.A010_A549_24H:A19	TA.KD009_A549_96H:TRCN0000355727:1	0.5695	0.2306	0.2068	0.2319
REP.A010_A549_24H:A19	TA.KD009_A549_96H:TRCN0000355726:1	0.6145	0.349	0.3407	0.3507
PBIOA022_MCF7_24H:M01	CGS001_MCF7_96H:MDM2:2	0.5941	0.298	0.2743	0.2991
PBIOA022_MCF7_24H:M01	CGS001_MCF7_144H:MDM2:2	0.6268	0.4198	0.3959	0.4208
PBIOA022_A549_24H:M01	TA.KD009_A549_96H:TRCN0000003379:1	0.5133	0.0585	0.0501	0.0611
PBIOA022_A549_24H:M01	TA.KD009_A549_96H:TRCN0000003380:1	0.5389	0.1585	0.1236	0.1602
PBIOA022_A549_24H:M01	TA.KD009_A549_96H:TRCN0000003376:1	0.4611	0.0114	-0.039	0.0141
PBIOA022_A549_24H:M01	TA.KD009_A549_96H:TRCN0000355728:1	0.6033	0.2305	0.2259	0.2312
PBIOA022_A549_24H:M01	TA.KD009_A549_96H:TRCN0000003377:1	0.5389	0.1564	0.1598	0.1581
PBIOA022_A549_24H:M01	TA.KD009_A549_96H:TRCN0000355727:1	0.6074	0.2991	0.2925	0.3004
PBIOA022_A549_24H:M01	TA.KD009_A549_96H:TRCN0000355726:1	0.6687	0.3988	0.4301	0.4005
PBIOA022_A549_24H:M04	TA.KD009_A549_96H:TRCN0000003379:1	0.5562	0.116	0.1298	0.1173
PBIOA022_A549_24H:M04	TA.KD009_A549_96H:TRCN0000003380:1	0.5102	0.0715	0.0521	0.0725
PBIOA022_A549_24H:M04	TA.KD009_A549_96H:TRCN0000003376:1	0.4775	-0.0658	-0.0727	-0.0642
