Sample1	Sample2	dose0.01uM-1uM_time24
CVD001_HEPG2_24H:BRD-K08316444-001-04-3:0.1563	CVD001_HEPG2_24H:BRD-K08316444-001-04-3:0.625	0.862
POL001_MCF7_24H:D05	POL001_MCF7_24H:D04	0.5204
POL001_MCF7_24H:D05	POL001_MCF7_24H:D06	0.6064
POL001_MCF7_24H:D04	POL001_MCF7_24H:D06	0.3343
PBIOA015_A375_24H:O11	PBIOA015_A375_24H:O10	0.754
PBIOA015_HA1E_24H:O10	PBIOA015_HA1E_24H:O11	0.5303
PBIOA015_HEPG2_24H:O10	PBIOA015_HEPG2_24H:O12	0.5492
LJP005_HCC515_24H:I16	LJP005_HCC515_24H:I18	0.4536
LJP005_SKBR3_24H:I16	LJP005_SKBR3_24H:I17	0.7094
LJP005_SKBR3_24H:I16	LJP005_SKBR3_24H:I18	0.6524
LJP005_SKBR3_24H:I17	LJP005_SKBR3_24H:I18	0.5715
REP.A005_HA1E_24H:G22	REP.A005_HA1E_24H:G23	0.9036
REP.B005_HA1E_24H:G22	REP.B005_HA1E_24H:G23	0.6937
REP.B005_HA1E_24H:G22	REP.B005_HA1E_24H:G21	0.6894
REP.B005_HA1E_24H:G23	REP.B005_HA1E_24H:G21	0.5243
REP.A005_A375_24H:I24	REP.A005_A375_24H:I22	0.9289
PBIOA019_A549_24H:M06	PBIOA019_A549_24H:M04	0.4187
PBIOA019_HEPG2_24H:M04	PBIOA019_HEPG2_24H:M05	0.7974
PBIOA019_HEPG2_24H:M04	PBIOA019_HEPG2_24H:M06	0.6917
PBIOA019_HEPG2_24H:M05	PBIOA019_HEPG2_24H:M06	0.8417
PBIOA019_PC3_24H:M04	PBIOA019_PC3_24H:M06	0.4005
PBIOA022_A375_24H:I11	PBIOA022_A375_24H:I10	0.5373
HOG002_MCF7_24H:BRD-K12184916-001-04-8:0.0412	HOG002_MCF7_24H:BRD-K12184916-001-04-8:0.1235	0.674
HOG002_MCF7_24H:BRD-K12184916-001-04-8:0.0412	HOG002_MCF7_24H:BRD-K12184916-001-04-8:0.3704	0.7103
HOG002_MCF7_24H:BRD-K12184916-001-04-8:0.1235	HOG002_MCF7_24H:BRD-K12184916-001-04-8:0.3704	0.6776
PBIOA018_MCF7_24H:A23	PBIOA018_MCF7_24H:A22	0.4956
LJP005_MCF7_24H:L04	LJP005_MCF7_24H:L05	0.4552
REP.A010_A375_24H:D23	REP.A010_A375_24H:D22	0.4457
PBIOA022_HEPG2_24H:E24	PBIOA022_HEPG2_24H:E23	0.6848
MOAR019_A375_24H:G21	MOAR019_A375_24H:G09	0.595
LJP006_HS578T_24H:K06	LJP006_HS578T_24H:K04	0.0313
LJP006_HS578T_24H:K06	LJP006_HS578T_24H:K05	0.37
LJP006_HS578T_24H:K04	LJP006_HS578T_24H:K05	0.1008
REP.A010_MCF7_24H:H23	REP.A010_MCF7_24H:H22	0.3486
LJP006_SKBR3_24H:K06	LJP006_SKBR3_24H:K04	-0.0621
LJP006_SKBR3_24H:K06	LJP006_SKBR3_24H:K05	0.3533
LJP006_SKBR3_24H:K04	LJP006_SKBR3_24H:K05	0.1398
REP.A010_A375_24H:J04	REP.A010_A375_24H:J05	0.728
REP.A010_HEK293_24H:J05	REP.A010_HEK293_24H:J04	0.7773
REP.A010_MDAMB231_24H:J04	REP.A010_MDAMB231_24H:J06	0.2757
REP.A010_MDAMB231_24H:J04	REP.A010_MDAMB231_24H:J05	0.8418
REP.A010_MDAMB231_24H:J06	REP.A010_MDAMB231_24H:J05	0.3655
REP.A010_PC3_24H:J04	REP.A010_PC3_24H:J06	0.1135
REP.A010_PC3_24H:J04	REP.A010_PC3_24H:J05	0.6745
REP.A010_PC3_24H:J06	REP.A010_PC3_24H:J05	0.2085
MOAR019_A375_24H:G10	MOAR019_A375_24H:G22	0.9069
REP.A010_A375_24H:P06	REP.A010_A375_24H:P05	0.7703
REP.A010_MCF7_24H:P06	REP.A010_MCF7_24H:P04	0.664
HOG001_A549_24H:BRD-K16406336-311-01-2:0.0412	HOG001_A549_24H:BRD-K16406336-311-01-2:0.3704	0.2754
REP.B002_HA1E_24H:J08	REP.B002_HA1E_24H:J11	-0.0194
ISO002_HCT116.TP53.HR_24H:D24	ISO002_HCT116.TP53.HR_24H:D23	0.9394
MOAR019_A375_24H:C19	MOAR019_A375_24H:C07	0.9434
REP.B002_A375_24H:L21	REP.B002_A375_24H:L20	0.6352
REP.B002_HA1E_24H:L21	REP.B002_HA1E_24H:L20	0.6035
LJP008_NPC_24H:L23	LJP008_NPC_24H:L22	0.5411
LJP008_NPC.CAS9_24H:L24	LJP008_NPC.CAS9_24H:L23	0.6579
PCLB003_HEPG2_24H:BRD-K17953061-001-10-1:0.12	PCLB003_HEPG2_24H:BRD-K17953061-001-10-1:0.04	0.8148
PCLB003_HEPG2_24H:BRD-K17953061-001-10-1:0.12	PCLB003_HEPG2_24H:BRD-K17953061-001-10-1:0.37	0.7696
PCLB003_HEPG2_24H:BRD-K17953061-001-10-1:0.04	PCLB003_HEPG2_24H:BRD-K17953061-001-10-1:0.37	0.7249
PCLB003_MCF7_24H:BRD-K17953061-001-10-1:0.37	PCLB003_MCF7_24H:BRD-K17953061-001-10-1:0.04	0.8136
ISO002_HCT116.WT_24H:K06	ISO002_HCT116.WT_24H:K05	0.5128
LJP006_HA1E_24H:K23	LJP006_HA1E_24H:K22	0.3194
REP.B004_HA1E_24H:E16	REP.B004_HA1E_24H:E14	0.3154
REP.B004_HA1E_24H:E16	REP.B004_HA1E_24H:E15	0.5094
REP.B004_HA1E_24H:E14	REP.B004_HA1E_24H:E15	0.6358
LUNG001_1HAE_24H:BRD-K21680192:0.37	LUNG001_1HAE_24H:BRD-K21680192:0.04	0.6421
LUNG001_1HAE_24H:BRD-K21680192:0.37	LUNG001_1HAE_24H:BRD-K21680192:0.12	0.7271
LUNG001_1HAE_24H:BRD-K21680192:0.04	LUNG001_1HAE_24H:BRD-K21680192:0.12	0.8305
AICHI002_BJAB_24H:K10	AICHI002_BJAB_24H:K09	0.6848
EMU001_BJAB_24H:C23	EMU001_BJAB_24H:C21	0.2559
EMU001_BJAB_24H:C23	EMU001_BJAB_24H:C22	0.4441
EMU001_BJAB_24H:C21	EMU001_BJAB_24H:C22	0.6334
LJP006_HA1E_24H:C22	LJP006_HA1E_24H:C24	0.6811
LJP006_HA1E_24H:C22	LJP006_HA1E_24H:C23	0.8173
LJP006_HA1E_24H:C24	LJP006_HA1E_24H:C23	0.7105
AICHI001_HBL1_24H:K11	AICHI001_HBL1_24H:K10	0.7831
AICHI001_HBL1_24H:K11	AICHI001_HBL1_24H:K09	0.4624
AICHI001_HBL1_24H:K10	AICHI001_HBL1_24H:K09	0.7005
AICHI002_HBL1_24H:K09	AICHI002_HBL1_24H:K10	0.7687
AICHI002_HBL1_24H:K09	AICHI002_HBL1_24H:K11	0.4717
AICHI002_HBL1_24H:K10	AICHI002_HBL1_24H:K11	0.7287
EMU001_HBL1_24H:C21	EMU001_HBL1_24H:C22	0.7416
LJP005_HCC515_24H:C22	LJP005_HCC515_24H:C23	0.8309
LJP005_HS578T_24H:C22	LJP005_HS578T_24H:C23	0.6788
LJP005_HS578T_24H:C22	LJP005_HS578T_24H:C24	0.4189
LJP005_HS578T_24H:C23	LJP005_HS578T_24H:C24	0.5499
LJP006_HS578T_24H:C23	LJP006_HS578T_24H:C22	0.5996
GMB001_HT29_24H:BRD-K21680192:0.08	GMB001_HT29_24H:BRD-K21680192:0.4	0.7856
AICHI001_K562_24H:K10	AICHI001_K562_24H:K09	0.6257
AICHI002_K562_24H:K10	AICHI002_K562_24H:K09	0.7222
EMU001_K562_24H:C21	EMU001_K562_24H:C22	0.6633
ISO002_MCF10A.EGFR.HL_24H:K10	ISO002_MCF10A.EGFR.HL_24H:K11	0.5579
HOG002_MCF7_24H:BRD-K21680192-300-10-2:0.3704	HOG002_MCF7_24H:BRD-K21680192-300-10-2:0.1234	0.6202
LJP005_MCF7_24H:C23	LJP005_MCF7_24H:C22	0.6677
POL001_MCF7_24H:C24	POL001_MCF7_24H:C23	0.8699
POL001_MCF7_24H:C24	POL001_MCF7_24H:C22	0.8181
POL001_MCF7_24H:C23	POL001_MCF7_24H:C22	0.8542
EMU001_MINO_24H:C21	EMU001_MINO_24H:C23	0.3032
AICHI002_OCILY19_24H:K11	AICHI002_OCILY19_24H:K10	0.8319
AICHI001_OCILY3_24H:K10	AICHI001_OCILY3_24H:K09	0.7317
AICHI002_OCILY3_24H:K09	AICHI002_OCILY3_24H:K10	0.8086
AICHI002_OCILY3_24H:K09	AICHI002_OCILY3_24H:K11	0.384
AICHI002_OCILY3_24H:K10	AICHI002_OCILY3_24H:K11	0.5195
AICHI002_SKMEL5_24H:K10	AICHI002_SKMEL5_24H:K09	0.8687
EMU001_SKMEL5_24H:C21	EMU001_SKMEL5_24H:C22	0.9024
AICHI001_THP1_24H:K10	AICHI001_THP1_24H:K11	0.6184
AICHI001_THP1_24H:K10	AICHI001_THP1_24H:K09	0.8666
AICHI001_THP1_24H:K11	AICHI001_THP1_24H:K09	0.499
AICHI002_THP1_24H:K10	AICHI002_THP1_24H:K11	0.5051
AICHI002_THP1_24H:K10	AICHI002_THP1_24H:K09	0.8403
AICHI002_THP1_24H:K11	AICHI002_THP1_24H:K09	0.4124
EMU001_THP1_24H:C21	EMU001_THP1_24H:C23	0.7078
AICHI001_TMD8_24H:K11	AICHI001_TMD8_24H:K10	0.6269
AICHI001_TMD8_24H:K11	AICHI001_TMD8_24H:K09	0.4773
AICHI001_TMD8_24H:K10	AICHI001_TMD8_24H:K09	0.8251
LJP007_MNEU.E_24H:G05	LJP007_MNEU.E_24H:G04	0.3845
